COUNTRY,COURSE (SPECIALIZATION),FEES_category,FEES_Smoothed_ES,COURSE TYPE_M.ENG,COURSE TYPE_M.Sc,COURSE TYPE_MASTERS OF MANAGEMENT,COURSE TYPE_MBA
FRANCE,M.Sc in Botany,High,-0.5664291430782501,0,1,0,0
FRANCE,M.Sc in Agriculture,High,0.2895238093091995,0,1,0,0
FRANCE,M.Sc in Security Science,Low,-0.1177624391267733,0,1,0,0
FRANCE,M.Sc in Mathematics,Low,-0.5737699797482694,0,1,0,0
FRANCE,M.Sc in Business & Finance,Medium,-0.5530598932697569,0,1,0,0
CHINA,MBA in International Business,Medium,-0.5365986779270328,0,0,0,1
CHINA,MBA in General Management,Low,-0.6473855459575214,0,0,0,1
CHINA,MBA in Global Business Management,Medium,-0.573606564053311,0,0,0,1
CHINA,MBA in Executive MBA,Medium,-0.5697358480581054,0,0,0,1
CHINA,MASTERS OF MANAGEMENT in Marketing,Low,-0.9522446279758566,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,Low,-1.2036954099527464,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in International Business ,Low,-1.3555905972567477,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Finance,Low,-1.4812135147619625,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,High,0.0758589937424645,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Human Resource Management,Low,-0.4343349312304734,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Risk Management,Low,-0.8623845397697989,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Project Management,Low,-1.1407933482085062,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Environment,Low,-1.3115591540357794,0,0,1,0
CHINA,MASTERS OF MANAGEMENT in Finance,Low,-1.4841600077833137,0,0,1,0
CHINA,M.ENG in Mechanical,Low,-1.5097260044694083,1,0,0,0
CHINA,M.ENG in Electrical,Medium,-1.0519188002687256,1,0,0,0
CHINA,"M.ENG in 
Architecture",Low,-0.9999561264281134,1,0,0,0
CHINA,M.ENG in Civil ,Medium,-0.6950798856398194,1,0,0,0
CHINA,M.ENG in Chemical,Low,-0.8615430242031221,1,0,0,0
CHINA,M.ENG in Computer Science Engineering,Medium,-0.598145618542095,1,0,0,0
CHINA,M.ENG in Agriculture,Low,-0.9462371919248456,1,0,0,0
CHINA,M.ENG in Biomedical,Low,-1.1246860510210948,1,0,0,0
CHINA,M.ENG in Environmental,Low,-1.3244587029200097,1,0,0,0
CHINA,"M.ENG in 
Food Technology",Low,-1.5086583147374606,1,0,0,0
CHINA,M.ENG in Industrial,Low,-1.5932392875214656,1,0,0,0
CHINA,M.Sc in Physics,Low,-1.6138731354308125,0,1,0,0
CHINA,M.Sc in Chemistry,Low,-1.6042088083176946,0,1,0,0
CHINA,M.Sc in Environment,Low,-1.698697461888478,0,1,0,0
CHINA,M.Sc in Agriculture,Low,-1.726266690527178,0,1,0,0
CHINA,M.Sc in Mathematics,Low,-1.7744947753538605,0,1,0,0
UK,MBA in Sales & Marketing,Medium,-1.1184758050678123,0,0,0,1
UK,MBA in Banking,High,-0.3163751007647795,0,0,0,1
UK,MBA in Business Administration,High,0.9553748924190536,0,0,0,1
UK,MBA in Human Resource Management,High,1.1353203874760265,0,0,0,1
UK,MBA in International Business,Medium,0.6397876750219428,0,0,0,1
UK,MBA in Entrepreneurship & Leadership Management,Medium,0.3373072448036537,0,0,0,1
UK,MASTERS OF MANAGEMENT in Hotel Management,Medium,0.2461590173218598,0,0,1,0
UK,MASTERS OF MANAGEMENT in Marketing,High,0.511866218566496,0,0,1,0
UK,MASTERS OF MANAGEMENT in Luxury & Brand ,Medium,0.3684101449832015,0,0,1,0
UK,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,High,0.702385368135009,0,0,1,0
UK,MASTERS OF MANAGEMENT in International Business ,Medium,0.5856505316108864,0,0,1,0
UK,MASTERS OF MANAGEMENT in Supply Chain Management,Medium,0.5458746349195601,0,0,1,0
UK,MASTERS OF MANAGEMENT in Real Estate,Medium,0.5034634038285106,0,0,1,0
UK,MASTERS OF MANAGEMENT in Human Resource Management,High,0.6422358369697141,0,0,1,0
UK,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",Medium,0.2698420218252283,0,0,1,0
UK,MASTERS OF MANAGEMENT in Communication,Medium,0.1945786288281595,0,0,1,0
UK,MASTERS OF MANAGEMENT in Banking,Medium,0.1992837692216161,0,0,1,0
UK,MASTERS OF MANAGEMENT in Digital Marketing,Medium,0.1584315873140957,0,0,1,0
UK,MASTERS OF MANAGEMENT in Project Management,High,0.5337689471902227,0,0,1,0
UK,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,High,0.954800298471241,0,0,1,0
UK,MASTERS OF MANAGEMENT in Environment,Medium,0.687293157788833,0,0,1,0
UK,MASTERS OF MANAGEMENT in Fashion,High,0.6790934407914133,0,0,1,0
UK,MASTERS OF MANAGEMENT in Sports,High,0.6496915008154499,0,0,1,0
UK,MASTERS OF MANAGEMENT in Stratergic Management,High,1.0359460860089005,0,0,1,0
UK,M.ENG in Mechanical,High,1.459256844685942,1,0,0,0
UK,M.ENG in Marine,Low,0.6651736064948259,1,0,0,0
UK,M.ENG in Electrical,High,0.7494291545029853,1,0,0,0
UK,M.ENG in Architecture,High,0.8407227492527516,1,0,0,0
UK,M.ENG in Civil Engineering,High,1.3226005089566375,1,0,0,0
UK,M.ENG in Chemical,High,1.5627942235111674,1,0,0,0
UK,M.ENG in Computer Engineering,High,1.5967266534474995,1,0,0,0
UK,M.ENG in Aerospace Engineering,High,1.5538192287920698,1,0,0,0
UK,M.ENG in Agriculture,High,1.3052624177473404,1,0,0,0
UK,M.ENG in Biomedical,High,1.18424758707128,1,0,0,0
UK,M.ENG in Energy Engineering,High,1.268174084308999,1,0,0,0
UK,M.ENG in Industrial,High,1.381221941707917,1,0,0,0
UK,M.ENG in Materials,High,1.1844443167884329,1,0,0,0
UK,M.ENG in Textile,Medium,0.7542783331512987,1,0,0,0
UK,M.Sc in Physics,High,1.0546042520793837,0,1,0,0
UK,M.Sc in Biotechnology,High,1.3597458212598523,0,1,0,0
UK,M.Sc in Chemistry,High,1.5932105205595728,0,1,0,0
UK,M.Sc in Biology,High,1.5623943797716044,0,1,0,0
UK,M.Sc in Psychology ,High,1.827770650319835,0,1,0,0
UK,M.Sc in Business Analytics,High,2.1415568018162627,0,1,0,0
UK,M.Sc in Environment,High,2.2303136585979937,0,1,0,0
UK,M.Sc in Botany,Medium,1.5880236623081132,0,1,0,0
UK,M.Sc in Forensic Science,Low,0.6931721090652336,0,1,0,0
UK,M.Sc in Mathematics,High,0.932367491725568,0,1,0,0
UK,M.Sc in Zoology,Medium,0.6029839976647395,0,1,0,0
AUSTRALIA,MBA in Sales & Marketing,Medium,0.5385086150103515,0,0,0,1
AUSTRALIA,MBA in Supply Chain & Logistics Management,Medium,0.4130257568365783,0,0,0,1
AUSTRALIA,MBA in Business Administration,High,0.5443243607486211,0,0,0,1
AUSTRALIA,MBA in Entrepreneurship & Leadership Management,Medium,0.3073002075250609,0,0,0,1
AUSTRALIA,MBA in Executive MBA,High,1.101247289553606,0,0,0,1
AUSTRALIA,MBA in Finance,Medium,0.753071747636378,0,0,0,1
AUSTRALIA,MASTERS OF MANAGEMENT in Hotel Management,Medium,0.4728260980696331,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Marketing,Medium,0.235566030526421,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,Medium,0.1995963419862596,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Finance,Medium,0.1675695439861374,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in International Business ,Medium,0.1451507853860519,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Supply Chain Management,High,0.3107931940108955,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Human Resource Management,High,0.5406939156278129,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Banking,High,0.7662697217591149,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Accounting,High,0.9698262456979287,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Communication,High,0.9164168160154468,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Business Administration,High,0.9646304510309984,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Project Management,High,1.0630252965413445,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,Medium,0.7144464516824466,0,0,1,0
AUSTRALIA,MASTERS OF MANAGEMENT in Environment,Medium,0.5188339271726449,0,0,1,0
AUSTRALIA,M.ENG in Mechanical,High,0.6636783125553137,1,0,0,0
AUSTRALIA,M.ENG in Electrical,High,0.7745653029994616,1,0,0,0
AUSTRALIA,M.ENG in Architecture,Medium,0.5791785061175944,1,0,0,0
AUSTRALIA,M.ENG in Civil Engineering,High,0.7054629839724583,1,0,0,0
AUSTRALIA,M.ENG in Chemical,High,0.6708716960593781,1,0,0,0
AUSTRALIA,M.ENG in Computer Engineering,High,0.714316223070799,1,0,0,0
AUSTRALIA,M.ENG in Mining,High,0.6625511662858141,1,0,0,0
AUSTRALIA,M.ENG in Aerospace Engineering,High,0.708491852229304,1,0,0,0
